
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.6)

2024-07-23T19:06:30.410Z  INFO 48985 --- [           main] c.erp.greenlight.GreenlightApplication   : Starting GreenlightApplication v0.0.1-SNAPSHOT using Java 17.0.11 with PID 48985 (/project/backend/Green-light/target/greenlight-0.0.1-SNAPSHOT.jar started by root in /project/backend/Green-light)
2024-07-23T19:06:30.513Z  INFO 48985 --- [           main] c.erp.greenlight.GreenlightApplication   : No active profile set, falling back to 1 default profile: "default"
2024-07-23T19:06:34.031Z  INFO 48985 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-23T19:06:34.593Z  INFO 48985 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 544 ms. Found 29 JPA repository interfaces.
2024-07-23T19:06:36.527Z  INFO 48985 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8082 (http)
2024-07-23T19:06:36.554Z  INFO 48985 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-07-23T19:06:36.555Z  INFO 48985 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-07-23T19:06:36.854Z  INFO 48985 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-07-23T19:06:36.857Z  INFO 48985 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5940 ms
2024-07-23T19:06:37.761Z  INFO 48985 --- [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-07-23T19:06:37.948Z  INFO 48985 --- [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.13.Final
2024-07-23T19:06:37.953Z  INFO 48985 --- [           main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2024-07-23T19:06:38.351Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4fdf8f12
2024-07-23T19:06:38.353Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4fdf8f12
2024-07-23T19:06:38.353Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@4fdf8f12
2024-07-23T19:06:38.354Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@4a8b5227
